Tiếng Anh,Tiếng Việt
Tall Scotch Eggs,Trứng Scoth Chân Cao
Tamales,Bánh Bột Hấp
Team Leader,Đội trưởng
Smallish Tallbird,Chim Hơi Lùn
Telelocator Focus,Tâm Dịch Chuyển
Wooden Thing,Đồ Gỗ
Box Thing,Đồ Hộp
Crank Thing,Đồ Tay Quay
Metal Potato Thing,Đồ Khoai Tây Kim Loại
Ring Thing,Đồ Vòng
Telelocator Staff,Gậy Dịch Chuyển
Beta Report,Báo cáo thử nghiệm
Tent,Lều
Tentacle,Xúc tu
Tentacle Spike,Chày Gai Xúc Tua
Tentacle Spots,Xúc tu đốm
Big Tentacle,Đại xúc tu
Baby Tentacle,Tiểu xúc tua
Big Slimy Pit,Hố nhầy
Terrarium,Terrariumdq
Conspicuous Chest,Rương Rõ Ràng
Terrorbeak,Mỏ Khiếp Sợ
Thulecite,Thulecite
Thulecite Bug Net,Lưới Côn Trùng Thulecite
Thulecite Fragments,Mảnh Thulecite
Shadow Thurible,Lư Hương Bóng Tối
Ticoon,Mèo trúc nhỏ
Tillweeds,Cỏ Thìa Lìa
Tillweed Salve,Dầu Thìa Lìa
Dried Tillweed,Tảo khô
Toadstool,Cóc nấm
Misery Toadstool,Cóc Nấm Đau Đớn
Hole,Hố
Roasted Toma Root,Cà Chua Nướng
Giant Toma Root,Cà Chua Khổng Lồ
Giant Rotting Toma Root,Cà Chua Khổng Lồ Thối Rữa
Spiky Seeds,Hạt Cà Chua
Top Hat,Nón Chóp Cao
Magician's Top Hat,Mũ Ảo Thuật Gia
Torch,Đuốc
Tornado,Lốc xoáy
Tourtiere,Bánh Nhân Thịt
The Lazy Deserter,Chốt Đào Tẩu
Desert Stone,Đá sa mạc
Trail Mix,Hoa quả khô thập cẩm
Boarilla,Heo Vượn
Electrical Doodad,Linh kiện điện
Trap,Bẫy
Bramble Trap,Bẫy Mâm Xôi
Anenemy,Hải Quỳ
Tooth Trap,Bẫy Răng
Maxwell's Tooth Trap,Bẫy răng của Maxwell
Chest,Rương
Treasure Chest,Rương báu vật
Tree Jam,Mứt Bón Cây
Boulderbough,Cây Tảng Đá
Boulderbough Sapling,Cây giống Cây Tảng Đá
Boulderbough Seed,Hạt giống Cây Tảng Đá
Strident Trident,Đinh Ba Địa Chất
Melty Marbles,Cẩm thạch nóng chảy
Second-hand Dentures,Răng giả đã dùng
Lying Robot,Rô bốt dối lừa
Dessicated Tentacle,Xúc Tua Sấy Khô
Gnomette,Quỷ Lùn Bà
Leaky Teacup,Cốc chè hỏng
White Bishop,Quân tượng trắng
Black Bishop,Quân tượng đen
Bent Spork,Nĩa Cong
Toy Trojan Horse,Ngựa đồ chơi
Unbalanced Top,Con quay lỗi
Fake Kazoo,Kèn Kazoo
Back Scratcher,Cây Gãi Lưng
Beaten Beater,Thanh Gõ Nhịp
Frayed Yarn,Cuộn Len Sờn
Shoe Horn,Bót Giầy
Lucky Cat Jar,Bình Mèo May Mắn
Air Unfreshener,Móc Chìa Khóa
Potato Cup,Cốc khoai tây
Wire Hanger,Mắc quần áo
White Rook,Quân Xe Trắng
Black Rook,Quân Xe Đen
Gord's Knot,Nút Thắt Gord
White Knight,Quân Mã Trắng
Black Knight,Quân Mã Đen
Cubic Zirconia Ball,Khối Cầu Zirkonia
Spider Ring,Nhẫn Nhện
Monkey Paw,Chân Khỉ
Empty Elixir,Bình Thuốc Rỗng
Faux Fangs,Nanh Giả
Broken Stake,Bút Chì Gãy
Binoculars,Ống Nhòm
Lone Glove,Găng Tay Đơn
Gnome,Quỷ Lùn
Snail Scale,Cân Ốc Sen
Goop Canister,Hộp Kem Dưỡng
Toy Cobra,Hổ Mang Đồ Chơi
Crocodile Toy,Cá Sấu Đồ Chơi
Broken Terrarium,Cầu Thủy Tinh Vỡ
Odd Radio,Radio Kỳ Cục
Broken Hairdryer,Máy Sấy Tóc
Tiny Rocketship,Phi thuyền nhỏ
Frazzled Wires,Dây Điện Mòn
Ball and Cup,Bóng và Cúp
Hardened Rubber Bung,Nút Cao Su Cứng
Mismatched Buttons,Nút Áo Thừa
Fish Scale-O-Matic,Bể Trưng Bày Cá
Produce Scale,Cân Nông Sản
Breezy Vest,Vest Mát Mẻ
Puffy Vest,Vest Phùng
Koalefant Trunk Steak,Vòi voi nướng
Koalefant Trunk,Vòi voi
Winter Koalefant Trunk,Vòi voi mùa đông
Tumbleweed,Cỏ Lăn
Terra Firma Tamper,Cối Đóng Nền
Ancient Stonework,Nền Gạch Cổ
Beard Hair Rug,Nền Tóc Râu
Carpeted Flooring,Thảm Trải
Lush Carpet,Thảm Xa Hoa
Guano Turf,Đất Phân Dơi
Checkered Flooring,Nền Caro
Brick Flooring,Sàn Gạch
Gold Flooring,Sàn Vàng
Deciduous Turf,Đất Lá Rụng
Sandy Turf,Mảng Đất Cát
Dirt Turf,Mảng đất Thường
Scaled Flooring,Gạch Đóng Vảy
Forest Turf,Mảng đất Rừng
Fungal Turf,Mảng đất Nấm
Mutated Fungal Turf,Nềm Nấm Đột Biến
Grass Turf,Mảng đất Cỏ
Marsh Turf,Đất Đầm Lầy
Moon Crater Turf,Đất mặt trăng
Crater Turf Blueprint,Bản Thảo Đất mặt trăng
Moon Quay Beach Turf,Đất Nguyệt Cảng
Blue Mosaic Flooring,Sàn Khảm Xanh
Grey Mosaic Flooring,Sàn Khảm Xám
Red Mosaic Flooring,Sàn Khảm Đỏ
Mud Turf,Mảng đất Bùn
Rocky Beach Turf,Đất Đá Biển
Cobblestones,Đường Đá Cuội
Rocky Turf,Đất Đá
Ancient Flooring,Sàn Cổ
Imitation Ancient Flooring,Sàn Giả Cổ
Ancient Tilework,Ngói Cổ
Imitation Ancient Tilework,Ngói Giả Cổ
Ancient Brickwork,Gạch Cổ
Imitation Ancient Brickwork,Gạch Giả Cổ
Savanna Turf,Mảng đất Savanna
Shell Beach Turf,Nền Vỏ Trai
Shell Turf Blueprint,Bản Thảo Nền Vỏ Trai
Slimy Turf,Đất Nhớt
Cave Rock Turf,Mảng đất Hang Đá
Ancient Sanctum Stonework,Nền Thánh Điện Cổ Đại
Cave Fumarole Turf,Nền Miệng Phun Địa Nhiệt Hang Động
Wooden Flooring,Sàn Gỗ
Turkey Dinner,Tiệc Gà Tây
Roasted Turnip,Cải Tím Chín
Snortoise,Rùa Thép
Twiggy Tree,Cây Trơ Cành
Twiggy Tree Cone,Hạt Cây Trơ Cành
Twiggy Sapling,Chồi cây trơ cành
Twigs,Cành cây
Retinazor,Retinazor
Spazmatism,Spazmatism
Umbrella,Dù
Unagi,Lươn nướng
Unknown,Không rõ
Sanctum Relic,Thánh Tích Thánh Điện
Replica Sanctum Bowl,Bản Sao Bát Thánh Điện
Broken Sanctum Relic,Thánh Tích Thánh Điện bị hỏng
Replica Sanctum Planter,Bản Sao Chậu Cây Thánh Điện
Replica Sanctum Vase,Bản Sao Bình Thánh Điện
Sanctum Lustre,Đèn Quang Thánh Điện
Chasm,Vực Sâu
Portation Orb,Quả Cầu Dẫn Lối
Sanctum Lunarune Stone,Tượng Đá Nguyệt Tự Thánh Điện
Sanctum Statue,Tượng Thánh Điện
Sanctum Waymark,Mốc Dẫn Lối Thánh Điện
Broken Sanctum Waymark,Mốc Dẫn Lối Thánh Điện bị hỏng
Flummoxing Flame,Ngọn Lửa Rối Trí
Breakfast Skillet,Bánh Mì Chảo
Vegetable Stinger,Nước Ép Rau Củ
Victorian Costume Pattern,Bản Vẽ Bộ Victorian
Dark Tatters,Vụn Vải Bóng Đêm
Void Cowl,Mũ Trùm Hư Không
Gloomerang,Gloomerang
Void Repair Kit,Bộ Sửa Đồ Hư Không
Shadow Reaper,Lưỡi Hái Bóng Đêm
Umbralla,Dù Bóng Đêm
Volt Goat Chaud-Froid,Chaud-Froid Vôn Dương
Thermalock Missile,Tên lửa Thermalock
W.A.R.B.O.T.,W.A.R.B.O.T.
W.A.R.B.O.T. Base,Đế W.A.R.B.O.T.
W.A.R.B.O.T. Base Kit,Bộ Lắp Ráp Đế W.A.R.B.O.T.
W.A.R.B.O.T. Parts,Bộ phận W.A.R.B.O.T.
W.A.R.B.O.T. Leg,Chân W.A.R.B.O.T.
Enlightened W.A.R.B.O.T.,W.A.R.B.O.T. Khai Sáng
Undisclosed Construct,Cấu trúc không được tiết lộ
Terramite Barrier Post,Trụ rào chắn Mối Cơ Khí
Warbler,Máy Bay Vo Ve
Gyroscopic Transduction Core,Lõi Chuyển Đổi Con Quay
Terramite,Mối Cơ Khí
Auto-Mat-O-Chanic,Auto-mat-o-chanic
W.A.R.B.I.S. Head Gear,Nón W.A.R.B.I.S.
Scrap,Sắt Vụn
Kinetoclasmic Field Expandinator,Bộ Mở Rộng Trường Động Phá
Substrate Extrapolator,Nền Đất Ngoại Suy
Fulcronial Selector,Bộ chọn Fucroronal
Notional Fabricator,Máy Chế Tác Hư Ảo
Research Notes,Ghi chú nghiên cứu
Glove,Găng tay
Clipboard,Bảng kẹp giấy
Abandoned Junk,Phế Liệu Bỏ Hoang
Research Notes,Ghi Chú Nghiên Cứu
Grainy Transmission,Hạt Năng Lượng Truyền Tải
Grainy Transmission,Wagstaff - Hạt Năng Lượng Truyền Tải
Grainy Transmission,Truyền hạt
Reticulating Buffer,Reticulating Buffer
Odd Tool,Odd Tool
Widget Deflubber,Widget Deflubber
Weird Tool,Công cụ kỳ lạ
Grommet Scriber,Grommet Scriber
Strange Tool,Công cụ lạ hoắc
Conceptual Scrubber,Conceptual Scrubber
Funky Tool,Công cụ kì quặc
Calibrated Perceiver,Calibrated Perceiver
Bizarre Tool,Công cụ kỳ lạ
Plank,Tấm ván
Archaic Plank,Tấm ván cổ
Scaled Plank,Tấm ván Vảy
Wooden Walking Stick,Gậy Gỗ Đi Bộ
Dreadstone Wall,Tường Đá Kinh Hoàng
Hay Wall,Tường rơm
Moon Rock Wall,Tường đá mặt trăng
Thulecite Wall,Tường Thulecite
Archival Thulecite Wall,Tường Thulecite Tàng Thư
Scrap Wall,Tường Phế Liệu
Stone Wall,Tường đá
Archival Stone Wall,Tường Đá Tàng Thư
Wood Wall,Tường gỗ
MacTusk,MacTusk
Tam o' Shanter,Mũ nồi
Walrus Camp,Trại Hải Mã
Walrus Tusk,Ngà Hải Mã
Walter,GSS.WALTER
Pinetree Pioneer Hat,Mũ Ca Nô
Wanda,Wanda
Odd Beefalo,Bò Lai kỳ lạ
Wandering Trader,Thương nhân lang thang
Wardrobe,Tủ quần áo
Varg,Chó Sói
Varglet,Chó Đầu Đàn
Varg Shrine,Đền thờ Varg
Warly,Warly
Warrior Costume Pattern,Bản Vẽ Bộ Chiến Binh
Killer Bee Hive,Tổ ong sát thủ
Waterballoon,Bóng Nước
Empty Watering Can,Bình Tưới Nước đã cạn
Watering Can,Bình Tưới Nước
Watermelon,Dưa hấu
Fashion Melon,Dưa Thời Trang
Melonsicle,Kem dưa hấu
Grilled Watermelon,Dưa hấu nướng
Giant Watermelon,Dưa Hấu Khổng Lồ
Giant Rotting Watermelon,Dưa Hấu Khổng Lồ Thối Rữa
Square Seeds,Hạt Dưa Hấu
Sea Weed,Hoa Tảo Dại
Sea Sprout,Mầm Hoa Tảo
Seedshell,Bom Vỏ Hạt
Sea Sprout Starter,Mầm Ươm Biển
Fire Pump,Bơm Cứu Hỏa
Great Tree Trunk,Thân cây Đại Thụ
Great Tree Root,Rễ Cây Đại Thụ
Sea Turtle,Rùa biển
Wigfrid,Wigfrid
Battle Helm,Mũ chiến
Commander's Helm,Nón Chỉ Huy
Battle Rönd,Khiên Chiến
Wavey Jones,Wavey Jones
Wax Paper,Giấy Sáp
Codex Umbra,Sách bóng đêm
Webber,Webber
Webber's Skull,Sọ webber
Baby Spider,Nhện con
Fire Nettles,Tầm Ma Lửa
Spiny Bindweed,Bìm Bịp Đất
Tillweed,Cỏ Thìa Lìa
Wendy,GSS.WENDY
Perennial Altar,Bàn Thờ Vĩnh Cửu
{name}'s Perennial Altar,Bàn Thờ Vĩnh Cửu của {name}
Kitschy Beaver Idol,Tượng Thần Hải Ly
Kitschy Goose Idol,Tượng Thần Ngỗng
Kitschy Moose Idol,Tượng Thần Hươu
Wes,Wes
Wet Goop,Đống bầy nhầy
Paper,Giấy
Crumpled Package,Túi Nhàu Nát
Tail o' Three Cats,Roi Đuôi Tam Miêu
Wickerbottom,Wickerbottom
Willow,GSS.WILLOW
Ethereal Ember,Than Hồng Thanh Khiết
Wilson,GSS.WILSON
Pinchin' Winch,Tời Trục Vớt
Pinchin' Winch Blueprint,Bản Thảo Tời Trục Vớt
Winona,GSS.WINONA
Winona's G.E.M.erator,Máy Phát Điện Đá Quý của Winona
Winona's Generator,Máy Phát Điện của Winona
Winona's Catapult,Máy Ném Đá của Winona
Unstable Transmission,Truyền dẫn không ổn định
Doohickey,Đồ linh tinh
Gizmo,Gizmo
Calibrated Perceiver,Bộ thu nhận hiệu chỉnh
Handy Remote,Điều Khiển Cầm Tay
Winona's Spotlight,Đèn Pha của Winona
W.I.N.bot,W.I.N.bot
Portasol,Máy Dịch Chuyển
Teletransport Station,Trạm dịch chuyển tức thời
Winter Hat,Mũ Mùa Đông
Thermal Measurer,Nhiệt kế
Holiday Cheer,Nguyên Liệu Lễ Hội
Masonry Oven,Lò Nướng Gạch
Gingerbread Cookie,Bánh Quy Gừng
Sugar Cookie,Bánh Quy Đường
Candy Cane,Kẹo Gậy
Eternal Fruitcake,Bánh Trái Cây Vĩnh Cửu
Chocolate Log Cake,Bánh Gỗ Sô-cô-la
Plum Pudding,Pudding Mận
Apple Cider,Rượu Táo
Hot Cocoa,Cacao nóng
Heavenly Eggnog,Trứng Khuấy Sữa
Festive Bauble,Trang Sức Lễ Hội
Magnificent Adornment,Trang Sức Lộng Lẫy
Champion Adornment,Trang Sức Quán Quân
Appeasing Adornment,Trang Sức An Ủi
Festive Light,Đèn Lễ Hội
Sentimental Adornment,Trang sức tình cảm
Winter's Feast Tree,Cây Lễ Hội Mùa Đông
Festive Tree Planter,Chậu Cây Lễ Hội
Wobster Mound,Gò Tôm Hùm
Lunar Wobster,Tôm Hùm Trăng
Wobster,Tôm Hùm Biển
Dead Wobster,Tôm Hùm Chết
Delicious Wobster,Tôm Hùm Thơm Ngon
Woby,Woby
Woby Snacks,Bánh Quy Woby
Wolfgang,GSS.WOLFGANG
Coaching Whistle,Còi Huấn Luyện
Wonkey,Wonkey
Hardwood Hat,Mũ Gỗ Cứng
Woodie,GSS.WOODIE
Wooden Chair,Ghế Tự Gỗ
Wooden Stool,Ghế Đẩu Gỗ
Round Wooden Table,Bàn Gỗ Tròn
Square Wooden Table,Bàn Gỗ Vuông
The World,Thế giới
Depths Worm,Giun đất
Worm Hole,Hố Giun
Sick Worm Hole,Hố Giun Bệnh
Glow Berry,Quả phát sáng
Lesser Glow Berry,Quả Phát Sáng Nhỏ
Mysterious Plant,Cây bí ẩn
Wormwood,GSS.WORMWOOD
Great Depths Worm,Sâu vực thẳm khổng lồ
Dirt Mound,Ổ đất
Wortox,GSS.WORTOX
Wortox?,Túi Hút Linh Hồn
{name}?,{name}
Knabsack,Túi Hút Linh Hồn
Twintailed Heart,Trái Tim Hai Đuôi
{name}'s Twintailed Heart,Trái Tim Hai Đuôi của {name}
Soul,Linh Hồn
Soul Jar,Bình Linh Hồn
Wurt,GSS.WURT
Brilliant Mudslinger,Quang Trượng Bùn Đất
Dreaded Mudslinger,Hắc Trượng Bùn Đất
WX-78,WX-78
Beanbooster Circuit,Mạch Phục Hồi
Refrigerant Circuit,Mạch Tản Nhiệt
Thermal Circuit,Mạch Giữ Nhiệt
Illumination Circuit,Mạch Phát Quang
Hardy Circuit,Mạch Cứng Cáp Cấp 1
Super-Hardy Circuit,Mạch Cứng Cáp Cấp 2
Super-Gastrogain Circuit,Mạch Tiêu Hóa Cấp 2
Gastrogain Circuit,Mạch Tiêu Hóa Cấp 1
Super-Processing Circuit,Mạch Xử Lý Cấp 2
Processing Circuit,Mạch Xử Lý Cấp 1
Acceleration Circuit,Mạch Tăng Tốc Cấp 1
Super-Acceleration Circuit,Mạch Tăng Tốc Cấp 2
Chorusbox Circuit,Mạch Thanh Âm
Optoelectronic Circuit,Mạch Cảm Quang
Electrification Circuit,Mạch Điện Từ
Circuit Extractor,Kìm Ngắt Mạch
Bio Scanalyzer,Máy Quét Sinh Học
Magiluminescence,Bùa Phát Quang
Yellow Gem,Ngọc Vàng
Yellow Moonlens,Thấu Kính Mặt Trăng Vàng
Star Caller's Staff,Gậy Gọi Sao
Beefalo Shrine,Miếu Thờ Bò
Lucky Beast Beefalo Doll,Búp Bê Bò Kỳ Lân
Dolled-Up Beefalo Doll,Búp Bê Bò
Festive Beefalo Doll,Búp Bê Bò Lễ hội
Formal Beefalo Doll,Búp Bê Bò Trang Trọng
Frostbitten Beefalo Doll,Búp Bê Bò Cóng Lạnh
Flowery Beefalo Doll,Búp Bê Bò Hoa cỏ
Ironclad Beefalo Doll,Búp Bê Bò Bọc thép
Victorian Beefalo Doll,Búp Bê Bò Victorian
Warrior Beefalo Doll,Búp Bê Chiến Binh Bò
Fearsome Pattern Scrap,Mảnh Mẫu Rời Đáng Sợ
Formal Pattern Scrap,Mảnh Mẫu Rời Hình Thức
Festive Pattern Scrap,Mảnh Mẫu Rời Tiệc Tùng
Beefalo Stage,Sân Khấu Bò Lai
Sewing Machine,Máy Khâu
Sewing Machine Kit,Bộ Máy Khâu
Judge's Booth,Rạp Giám Khảo
Navigation Gym,Máy Tập Điều Hướng
Navigation Gym Kit,Bộ Tập Điều Hướng
Reflex Gym,Máy Tập Phản Xạ
Reflex Gym Kit,Bộ Tập Phản Xạ
Speed Gym,Máy Tập Chạy
Speed Gym Kit,Bộ Tập Chạy
Endurance Gym,Máy Tập Độ Bền
Endurance Gym Kit,Bộ Tập Độ Bền
Checkpoint,Điểm Kiếm Soát
Checkpoint Kit,Bộ Kiểm Soát
Finish Line,Vạch Đích
Finish Line Kit,Bộ Vạch Đích
Starting Point,Điểm Xuất Phát
Starting Point Kit,Bộ Xuất Phát
Carrat Scale,Cân Cà Ruột
Carrat Scale Kit,Bộ Cân Cà Ruột
{trainer}'s Carrat,Cà Ruột của {trainer}
Packet of Seeds,Túi Hạt Giống
Premium Seed Packet,Túi Hạt Giống Cao Cấp
Claw Anchor,Neo Móng Vuốt
Claw Anchor Kit,Bộ Neo Móng Vuốt
Dragonfly Shrine,Đền Ruồi Rồng
Claw Oar,Mái chèo vuốt nhọn
Dragonfly Boat Wheel,Bánh lái Ruồi Rồng
Dragonfly Boat Wheel Kit,Bộ Bánh lái Ruồi Rồng
Rocking Mare,Ngựa Bập Bênh
Rocking Mare Kit,Bộ ngựa bập bênh
Gilded Knight's Helmet,Mũ của Đồng Hồ Mã Mạ Vàng
Clockwork Knight Shrine,Đền thờ Đồng Hồ Mã
Shtick Horse,Ngựa Trò Hề
Joust-a-Dash,Joust-a-Dash
Tribute Roast,Cống Phẩm Nướng
Eight Treasure Mud Pie,Bánh Bùn Bát Bảo
Fish Heads on a Stick,Đầu cá treo
Short Rabbit Lamp,Đèn Thỏ Lùn
Tall Rabbit Lamp,Đèn Thỏ Cao
Pillow Fight Pit,Hố Đập Gối
Pillow Fight Bell,Chuông Đấu Gối
Pillow Fight Pit Kit,Bộ Hố Đập Gối
Bunnyman Torch,Ngọn đuốc người thỏ
Bunny Roll,Bánh Cuộn Thỏ
Moon Cake,Bánh Trung Thu
Moon Jelly,Thạch Trung Thu
Skewered Puffs,Xiên Bánh Xốp
Bunnyman Shrine,Đền Thỏ
Glove of Challenge,Găng Tay Thách Thức
Jubilantern Post,Cột Đèn Lễ Hội
Jubilantern Post Kit,Bộ Lắp Ráp Cột Đèn Lễ Hội
Depths Worm Shrine,Đền Sâu Đất
Gilded Depths Worm,Độ Sâu Đất mạ vàng
Catcoon Shrine,Đền Mèo
